Sisters One, Two, Three;Nancy Star ;Fiction;Drama;21.11.2016;After a tragic accident on Martha’s Vineyard, keeping secrets becomes a way of life for the Tangle family. With memories locked away, the sisters take divergent paths. Callie disappears, Mimi keeps so busy she has no time to think, and Ginger develops a lifelong aversion to risk that threatens the relationships she holds most dear.;4,99;https://images-na.ssl-images-amazon.com/images/I/515TZItXNeL.jpg;m. Tverskaya;M. Gnezdnikovskij pereulok, d. 4;0;7
Fate of Perfection (Finding Paradise Book 1);K.F. Breene;Fiction;Drama;12.12.2016;In a corporate-controlled future where the ruling conglomerates genetically engineer their employees, Millicent Foster is the best of the best. ;4,99;https://images-na.ssl-images-amazon.com/images/I/51RImlwJeuL.jpg;m. Semenovskaya;ul. Kirpichnaya, d. 33;6;8
The Atlantis Gene: A Thriller (The Origin Mystery, Book 1);A.G. Riddle;Fiction;Sci-Fi;19.02.2014;Read the novel that started it all. The Atlantis Gene is the first book in The Origin Mystery, the global bestselling trilogy that is now in development to be a major motion picture.;3,99;https://images-na.ssl-images-amazon.com/images/I/51sLuf5ZJmL.jpg;m. Aehroport;Kochnovskij proezd, d. 3;3;9
The Missing;Caroline Eriksson;Fiction;Drama;21.05.2016;An ordinary outing takes Greta, Alex, and four-year-old Smilla across Sweden’s mythical Lake Malice to a tiny, isolated island. While father and daughter tramp into the trees, Greta stays behind in the boat, lulled into a reverie by the misty, moody lake…only later to discover that the two haven’t returned. Her frantic search proves futile. They’ve disappeared without a trace.;4,99;https://images-na.ssl-images-amazon.com/images/I/51Zuc3JC3SL.jpg;m. Lubyanka;Krivokolennyj pereulok, d. 3;8;0
Harry Potter and the Sorcerer's Stone;J.K. Rowling;Fiction;Drama;26.06.1997;Harry Potter has never even heard of Hogwarts when the letters start dropping on the doormat at number four, Privet Drive. Addressed in green ink on yellowish parchment with a purple seal, they are swiftly confiscated by his grisly aunt and uncle. Then, on Harry's eleventh birthday, a great beetle-eyed giant of a man called Rubeus Hagrid bursts in with some astonishing news: Harry Potter is a wizard, and he has a place at Hogwarts School of Witchcraft and Wizardry. An incredible adventure is about to begin!;6,45;https://images-na.ssl-images-amazon.com/images/I/51NyRnx-FOL.jpg;Central Market;ul. St. Basmannaya, d. 21/4;3;1
The Man from St. Petersburg (Signet);Ken Follett;Fiction;Detective;21.08.2012;His name was Feliks. He came to London to commit a murder that would change history. A master manipulator, he had many weapons at his command, but against him were ranged the whole of the English police, a brilliant and powerful lord, and the young Winston Churchill himself. These odds would have stopped any man in the world—except the man from St. Petersburg.;1,99;https://images-na.ssl-images-amazon.com/images/I/51XpJIwag%2BL.jpg;m. Leninskij prospekt;ul. Vavilova, d. 7;0;2
A Man Called Ove: A Novel;Fredrik Backman;Fiction;Drama;05.05.2015;Meet Ove. He’s a curmudgeon—the kind of man who points at people he dislikes as if they were burglars caught outside his bedroom window. He has staunch principles, strict routines, and a short fuse. People call him “the bitter neighbor from hell.” But must Ove be bitter just because he doesn’t walk around with a smile plastered to his face all the time?; 9,04;https://images-na.ssl-images-amazon.com/images/I/81jQzNuvy4L.jpg;m. Tekstil'shchiki;Volgogradskij pr-t, d. 46b;2;3
Milk and Honey;Rupi Kaur;Fiction;Drama;06.10.2015;Milk and Honey is a collection of poetry and prose about survival. About the experience of violence, abuse, love, loss, and femininity.; 8,99;https://images-na.ssl-images-amazon.com/images/I/71atjKaLpzL.jpg;m. Tverskaya;M. Gnezdnikovskij pereulok, d. 4;3;4
The Queen's Poisoner (The Kingfountain Series Book 1);Jeff Wheeler ;Fiction;Detective;01.04.2016;King Severn Argentine’s fearsome reputation precedes him: usurper of the throne, killer of rightful heirs, ruthless punisher of traitors. Attempting to depose him, the Duke of Kiskaddon gambles…and loses. Now the duke must atone by handing over his young son, Owen, as the king’s hostage. And should his loyalty falter again, the boy will pay with his life.;2;https://images-na.ssl-images-amazon.com/images/I/61C1TPBwzqL.jpg;m. Semenovskaya;ul. Kirpichnaya, d. 33;3;5
The Girl on the Train;Paula Hawkins;Fiction;Detective;12.07.2016;Rachel takes the same commuter train every morning and night. Every day she rattles down the track, flashes past a stretch of cozy suburban homes, and stops at the signal that allows her to daily watch the same couple breakfasting on their deck. She’s even started to feel like she knows them. Jess and Jason, she calls them. Their life—as she sees it—is perfect. Not unlike the life she recently lost.; 9,60;https://images-na.ssl-images-amazon.com/images/I/51sIb8%2BvHzL._SX318_BO1,204,203,200_.jpg;m. Aehroport;Kochnovskij proezd, d. 3;7;6
